id,source,target,x1,y1,x2,y2
1,1,2,127.0177654,37.521773,127.0224207,37.5241261
2,2,3,127.0224207,37.5241261,127.0283852,37.5271729
3,3,4,127.0283852,37.5271729,127.0338086,37.5291715
4,4,5,127.0338086,37.5291715,127.0369359,37.5287888
5,5,6,127.0369359,37.5287888,127.0407015,37.527814
6,6,7,127.0407015,37.527814,127.0437581,37.5270338
7,8,9,127.0195686,37.516127,127.0234533,37.5177624
8,9,10,127.0234533,37.5177624,127.0281109,37.5197052
9,10,11,127.0281109,37.5197052,127.033868,37.521544
10,11,12,127.033868,37.521544,127.0391491,37.5231903
11,12,13,127.0391491,37.5231903,127.0473769,37.5242366
12,14,15,127.0213356,37.5111093,127.0307397,37.513997
13,15,16,127.0307397,37.513997,127.0353904,37.5154269
14,16,17,127.0353904,37.5154269,127.0412905,37.5172269
15,17,18,127.0412905,37.5172269,127.0502495,37.5188448
16,19,20,127.0244893,37.5045187,127.0338909,37.5073251
17,20,21,127.0338909,37.5073251,127.0384839,37.508668
18,21,22,127.0384839,37.508668,127.0438682,37.5102884
19,22,23,127.0438682,37.5102884,127.0533372,37.5130468
20,25,26,127.0276479,37.4979834,127.031041,37.4990081
21,26,27,127.031041,37.4990081,127.0369283,37.5008231
22,27,28,127.0369283,37.5008231,127.0427943,37.502616
23,28,29,127.0427943,37.502616,127.0490312,37.5044902
24,29,30,127.0490312,37.5044902,127.0566381,37.506869
25,32,33,127.0299733,37.4930464,127.0334228,37.4940902
26,33,34,127.0334228,37.4940902,127.0392536,37.4958618
27,34,35,127.0392536,37.4958618,127.044713,37.4985425
28,35,36,127.044713,37.4985425,127.0508683,37.5005566
29,36,37,127.0508683,37.5005566,127.0586486,37.503106
30,38,39,127.0316436,37.4895797,127.0350887,37.4906309
31,39,40,127.0350887,37.4906309,127.0367864,37.491122
32,40,41,127.0367864,37.491122,127.0409014,37.4923933
33,41,42,127.0409014,37.4923933,127.0467424,37.494202
34,42,43,127.0467424,37.494202,127.0529112,37.4962954
35,43,44,127.0529112,37.4962954,127.060934,37.4988766
36,45,46,127.0340673,37.484583,127.0382199,37.4851464
37,46,47,127.0382199,37.4851464,127.0413566,37.4855824
38,47,48,127.0413566,37.4855824,127.0454112,37.4863202
39,48,49,127.0454112,37.4863202,127.049867,37.4884271
40,49,50,127.049867,37.4884271,127.0554124,37.490925
41,50,51,127.0554124,37.490925,127.0598435,37.4929598
42,51,52,127.0598435,37.4929598,127.0632514,37.4945257
43,1,8,127.0177654,37.521773,127.0195686,37.516127
44,2,9,127.0224207,37.5241261,127.0234533,37.5177624
45,3,10,127.0283852,37.5271729,127.0281109,37.5197052
46,4,11,127.0338086,37.5291715,127.033868,37.521544
47,6,12,127.0407015,37.527814,127.0391491,37.5231903
48,7,13,127.0437581,37.5270338,127.0473769,37.5242366
49,8,14,127.0195686,37.516127,127.0213356,37.5111093
50,10,15,127.0281109,37.5197052,127.0307397,37.513997
51,11,16,127.033868,37.521544,127.0353904,37.5154269
52,12,17,127.0391491,37.5231903,127.0412905,37.5172269
53,13,18,127.0473769,37.5242366,127.0502495,37.5188448
54,14,19,127.0213356,37.5111093,127.0244893,37.5045187
55,15,20,127.0307397,37.513997,127.0338909,37.5073251
56,16,21,127.0353904,37.5154269,127.0384839,37.508668
57,17,22,127.0412905,37.5172269,127.0438682,37.5102884
58,18,23,127.0502495,37.5188448,127.0533372,37.5130468
59,19,24,127.0244893,37.5045187,127.0269098,37.4995046
60,20,27,127.0338909,37.5073251,127.0369283,37.5008231
61,21,28,127.0384839,37.508668,127.0427943,37.502616
62,22,29,127.0438682,37.5102884,127.0490312,37.5044902
63,23,30,127.0533372,37.5130468,127.0566381,37.506869
64,24,25,127.0269098,37.4995046,127.0276479,37.4979834
65,25,31,127.0276479,37.4979834,127.0283945,37.4963303
66,31,32,127.0283945,37.4963303,127.0299733,37.4930464
67,26,33,127.031041,37.4990081,127.0334228,37.4940902
68,27,34,127.0369283,37.5008231,127.0392536,37.4958618
69,28,35,127.0427943,37.502616,127.044713,37.4985425
70,29,36,127.0490312,37.5044902,127.0508683,37.5005566
71,30,37,127.0566381,37.506869,127.0586486,37.503106
72,32,38,127.0299733,37.4930464,127.0316436,37.4895797
73,33,39,127.0334228,37.4940902,127.0350887,37.4906309
74,34,41,127.0392536,37.4958618,127.0409014,37.4923933
75,35,42,127.044713,37.4985425,127.0467424,37.494202
76,36,43,127.0508683,37.5005566,127.0529112,37.4962954
77,37,44,127.0586486,37.503106,127.060934,37.4988766
78,38,45,127.0316436,37.4895797,127.0340673,37.484583
79,40,46,127.0367864,37.491122,127.0382199,37.4851464
80,41,47,127.0409014,37.4923933,127.0413566,37.4855824
81,42,49,127.0467424,37.494202,127.049867,37.4884271
82,43,50,127.0529112,37.4962954,127.0554124,37.490925
83,44,52,127.060934,37.4988766,127.0632514,37.4945257
84,2,1,127.0224207,37.5241261,127.0177654,37.521773
85,3,2,127.0283852,37.5271729,127.0224207,37.5241261
86,4,3,127.0338086,37.5291715,127.0283852,37.5271729
87,5,4,127.0369359,37.5287888,127.0338086,37.5291715
88,6,5,127.0407015,37.527814,127.0369359,37.5287888
89,7,6,127.0437581,37.5270338,127.0407015,37.527814
90,9,8,127.0234533,37.5177624,127.0195686,37.516127
91,10,9,127.0281109,37.5197052,127.0234533,37.5177624
92,11,10,127.033868,37.521544,127.0281109,37.5197052
93,12,11,127.0391491,37.5231903,127.033868,37.521544
94,13,12,127.0473769,37.5242366,127.0391491,37.5231903
95,15,14,127.0307397,37.513997,127.0213356,37.5111093
96,16,15,127.0353904,37.5154269,127.0307397,37.513997
97,17,16,127.0412905,37.5172269,127.0353904,37.5154269
98,18,17,127.0502495,37.5188448,127.0412905,37.5172269
99,20,19,127.0338909,37.5073251,127.0244893,37.5045187
100,21,20,127.0384839,37.508668,127.0338909,37.5073251
101,22,21,127.0438682,37.5102884,127.0384839,37.508668
102,23,22,127.0533372,37.5130468,127.0438682,37.5102884
103,26,25,127.031041,37.4990081,127.0276479,37.4979834
104,27,26,127.0369283,37.5008231,127.031041,37.4990081
105,28,27,127.0427943,37.502616,127.0369283,37.5008231
106,29,28,127.0490312,37.5044902,127.0427943,37.502616
107,30,29,127.0566381,37.506869,127.0490312,37.5044902
108,33,32,127.0334228,37.4940902,127.0299733,37.4930464
109,34,33,127.0392536,37.4958618,127.0334228,37.4940902
110,35,34,127.044713,37.4985425,127.0392536,37.4958618
111,36,35,127.0508683,37.5005566,127.044713,37.4985425
112,37,36,127.0586486,37.503106,127.0508683,37.5005566
113,39,38,127.0350887,37.4906309,127.0316436,37.4895797
114,40,39,127.0367864,37.491122,127.0350887,37.4906309
115,41,40,127.0409014,37.4923933,127.0367864,37.491122
116,42,41,127.0467424,37.494202,127.0409014,37.4923933
117,43,42,127.0529112,37.4962954,127.0467424,37.494202
118,44,43,127.060934,37.4988766,127.0529112,37.4962954
119,46,45,127.0382199,37.4851464,127.0340673,37.484583
120,47,46,127.0413566,37.4855824,127.0382199,37.4851464
121,48,47,127.0454112,37.4863202,127.0413566,37.4855824
122,49,48,127.049867,37.4884271,127.0454112,37.4863202
123,50,49,127.0554124,37.490925,127.049867,37.4884271
124,51,50,127.0598435,37.4929598,127.0554124,37.490925
125,52,51,127.0632514,37.4945257,127.0598435,37.4929598
126,8,1,127.0195686,37.516127,127.0177654,37.521773
127,9,2,127.0234533,37.5177624,127.0224207,37.5241261
128,10,3,127.0281109,37.5197052,127.0283852,37.5271729
129,11,4,127.033868,37.521544,127.0338086,37.5291715
130,12,6,127.0391491,37.5231903,127.0407015,37.527814
131,13,7,127.0473769,37.5242366,127.0437581,37.5270338
132,14,8,127.0213356,37.5111093,127.0195686,37.516127
133,15,10,127.0307397,37.513997,127.0281109,37.5197052
134,16,11,127.0353904,37.5154269,127.033868,37.521544
135,17,12,127.0412905,37.5172269,127.0391491,37.5231903
136,18,13,127.0502495,37.5188448,127.0473769,37.5242366
137,19,14,127.0244893,37.5045187,127.0213356,37.5111093
138,20,15,127.0338909,37.5073251,127.0307397,37.513997
139,21,16,127.0384839,37.508668,127.0353904,37.5154269
140,22,17,127.0438682,37.5102884,127.0412905,37.5172269
141,23,18,127.0533372,37.5130468,127.0502495,37.5188448
142,24,19,127.0269098,37.4995046,127.0244893,37.5045187
143,27,20,127.0369283,37.5008231,127.0338909,37.5073251
144,28,21,127.0427943,37.502616,127.0384839,37.508668
145,29,22,127.0490312,37.5044902,127.0438682,37.5102884
146,30,23,127.0566381,37.506869,127.0533372,37.5130468
147,25,24,127.0276479,37.4979834,127.0269098,37.4995046
148,31,25,127.0283945,37.4963303,127.0276479,37.4979834
149,32,31,127.0299733,37.4930464,127.0283945,37.4963303
150,33,26,127.0334228,37.4940902,127.031041,37.4990081
151,34,27,127.0392536,37.4958618,127.0369283,37.5008231
152,35,28,127.044713,37.4985425,127.0427943,37.502616
153,36,29,127.0508683,37.5005566,127.0490312,37.5044902
154,37,30,127.0586486,37.503106,127.0566381,37.506869
155,38,32,127.0316436,37.4895797,127.0299733,37.4930464
156,39,33,127.0350887,37.4906309,127.0334228,37.4940902
157,41,34,127.0409014,37.4923933,127.0392536,37.4958618
158,42,35,127.0467424,37.494202,127.044713,37.4985425
159,43,36,127.0529112,37.4962954,127.0508683,37.5005566
160,44,37,127.060934,37.4988766,127.0586486,37.503106
161,45,38,127.0340673,37.484583,127.0316436,37.4895797
162,46,40,127.0382199,37.4851464,127.0367864,37.491122
163,47,41,127.0413566,37.4855824,127.0409014,37.4923933
164,49,42,127.049867,37.4884271,127.0467424,37.494202
165,50,43,127.0554124,37.490925,127.0529112,37.4962954
166,52,44,127.0632514,37.4945257,127.060934,37.4988766
167,67,1,127.0158176,37.5207647,127.0177654,37.521773
168,68,8,127.0162738,37.515085,127.0195686,37.516127
169,69,14,127.0169601,37.5097909,127.0213356,37.5111093
170,70,19,127.021051,37.5034664,127.0244893,37.5045187
171,71,24,127.0234824,37.4984741,127.0269098,37.4995046
172,72,25,127.0242319,37.4969285,127.0276479,37.4979834
173,73,31,127.0249943,37.4953057,127.0283945,37.4963303
174,74,32,127.0265707,37.4920342,127.0299733,37.4930464
175,75,38,127.0282762,37.4885464,127.0316436,37.4895797
176,76,45,127.0286954,37.4838202,127.0340673,37.484583
177,13,77,127.0473769,37.5242366,127.0545484,37.5250751
178,18,78,127.0502495,37.5188448,127.06002,37.5210937
179,23,79,127.0533372,37.5130468,127.0602068,37.5142724
180,30,80,127.0566381,37.506869,127.0631526,37.5088841
181,37,81,127.0586486,37.503106,127.0651386,37.5052182
182,44,82,127.060934,37.4988766,127.0674319,37.5009862
183,52,83,127.0632514,37.4945257,127.0699361,37.4965091
184,53,1,127.0175268,37.5222771,127.0177654,37.521773
185,54,2,127.0208429,37.5261156,127.0224207,37.5241261
186,55,3,127.0268757,37.528741,127.0283852,37.5271729
187,56,4,127.0342735,37.5323714,127.0338086,37.5291715
188,57,5,127.037913,37.5315586,127.0369359,37.5287888
189,58,6,127.0416489,37.5305749,127.0407015,37.527814
190,59,7,127.04476,37.5296265,127.0437581,37.5270338
191,45,60,127.0340673,37.484583,127.0363679,37.4822785
192,47,61,127.0413566,37.4855824,127.0430002,37.481901
193,48,62,127.0454112,37.4863202,127.0464047,37.4848881
194,49,63,127.049867,37.4884271,127.0504861,37.4872097
195,50,64,127.0554124,37.490925,127.0558251,37.4896719
196,51,65,127.0598435,37.4929598,127.061853,37.4901566
197,52,66,127.0632514,37.4945257,127.0647815,37.491544
198,1,67,127.0177654,37.521773,127.0158176,37.5207647
199,8,68,127.0195686,37.516127,127.0162738,37.515085
200,14,69,127.0213356,37.5111093,127.0169601,37.5097909
201,19,70,127.0244893,37.5045187,127.021051,37.5034664
202,24,71,127.0269098,37.4995046,127.0234824,37.4984741
203,25,72,127.0276479,37.4979834,127.0242319,37.4969285
204,31,73,127.0283945,37.4963303,127.0249943,37.4953057
205,32,74,127.0299733,37.4930464,127.0265707,37.4920342
206,38,75,127.0316436,37.4895797,127.0282762,37.4885464
207,45,76,127.0340673,37.484583,127.0286954,37.4838202
208,77,13,127.0545484,37.5250751,127.0473769,37.5242366
209,78,18,127.06002,37.5210937,127.0502495,37.5188448
210,79,23,127.0602068,37.5142724,127.0533372,37.5130468
211,80,30,127.0631526,37.5088841,127.0566381,37.506869
212,81,37,127.0651386,37.5052182,127.0586486,37.503106
213,82,44,127.0674319,37.5009862,127.060934,37.4988766
214,83,52,127.0699361,37.4965091,127.0632514,37.4945257
215,1,53,127.0177654,37.521773,127.0175268,37.5222771
216,2,54,127.0224207,37.5241261,127.0208429,37.5261156
217,3,55,127.0283852,37.5271729,127.0268757,37.528741
218,4,56,127.0338086,37.5291715,127.0342735,37.5323714
219,5,57,127.0369359,37.5287888,127.037913,37.5315586
220,6,58,127.0407015,37.527814,127.0416489,37.5305749
221,7,59,127.0437581,37.5270338,127.04476,37.5296265
222,60,45,127.0363679,37.4822785,127.0340673,37.484583
223,61,47,127.0430002,37.481901,127.0413566,37.4855824
224,62,48,127.0464047,37.4848881,127.0454112,37.4863202
225,63,49,127.0504861,37.4872097,127.049867,37.4884271
226,64,50,127.0558251,37.4896719,127.0554124,37.490925
227,65,51,127.061853,37.4901566,127.0598435,37.4929598
228,66,52,127.0647815,37.491544,127.0632514,37.4945257